id,plate,well,id_acuigen,id_inpesca,id_dart,id_dart_rep,country,localy,pop,lat,lon,year,lengthcm,weightgr,sex,Otholits
j100,2,F1,130,1,2871094,2870999,Chile,Guanaquero,GNQ,-30.12,-71.45,NA,39,684.1,M,2
j101,2,G1,256,1,NA,2871000,Chile,Coquimbo,CQB,-30.1,-71.51,NA,31,310.1,F,NA
j102,2,H1,348,1,2871096,2871001,Chile,Iquique,IQQ,-19.88,-70.14,NA,29.5,272.4,F,2
j103,2,A2,201,1,2871097,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,31.5,357.6,F,NA
j104,2,B2,108,18,2871098,NA,Chile,Caldera,CAL,-26.98,-70.88,NA,40,754.2,M,2
j105,2,C2,316,2,2871099,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,35,463.9,M,2
j107,2,E2,NZ1,NA,2871101,NA,New Zealand,New Zealand,NZE,-40,-173,NA,49,NA,F,NA
j108,2,F2,349,2,2871102,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,30,296.4,M,2
j109,2,G2,390,2,2871103,NA,Chile,Isla Mocha ,IMO,-38.33,-74.04,NA,34,454.7,M,2
j110,2,H2,213,13,2871104,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,32.5,378.8,F,2
j111,2,A3,317,3,2871105,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,32,379.4,F,2
j112,2,B3,431,3,2871106,NA,Chile,Isla Mocha ,IMO,-38.85,-73.75,NA,43,924.7,M,2
j113,2,C3,257,2,2871107,NA,Chile,Coquimbo,CQB,-30.1,-71.51,NA,31,286.9,M,2
j114,2,D3,202,2,2871108,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,29.5,288.2,F,2
j115,2,E3,131,2,2871109,NA,Chile,Guanaquero,GNQ,-30.12,-71.45,NA,35,473.5,M,2
j116,2,F3,37,7,2871110,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,NA,52,1707.3,M,2
j117,2,G3,NZ20,NA,2871111,NA,New Zealand,New Zealand,NZE,-40,-173,NA,52,NA,NA,NA
j118,2,H3,350,3,2871112,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,28,286.8,M,2
j119,2,A4,NZ31,NA,2871113,NA,New Zealand,New Zealand,NZE,-40,-173,NA,50,NA,F,NA
j120,2,B4,469.2,1,2871114,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-38.08,-73.96,NA,43.5,1042.6,F,2
j121,2,C4,318,4,2871115,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,34,446,F,2
j122,2,D4,391,3,2871116,NA,Chile,Isla Mocha ,IMO,-38.33,-74.04,NA,37.5,632.1,F,2
j123,2,E4,351,4,2871117,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,33.5,432.9,F,2
j124,2,F4,264,9,2871118,NA,Chile,Coquimbo,CQB,-30.1,-71.51,NA,29,284.3,F,2
j125,2,G4,432,4,2871119,NA,Chile,Isla Mocha ,IMO,-38.85,-73.75,NA,44,1093.8,M,2
j126,2,H4,203,3,2871120,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,31,291.4,F,2
j127,2,A5,258,3,2871121,NA,Chile,Coquimbo,CQB,-30.1,-71.51,NA,31,332.8,M,2
j128,2,B5,352,5,2871122,2871027,Chile,Iquique,IQQ,-19.88,-70.14,NA,32,330.2,F,2
j129,2,C5,204,4,2871123,2871028,Chile,Arica ,ARI,-18.56,-70.38,NA,31.5,321.8,M,2
j130,2,D5,172,2,2871124,2871029,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,NA,38,750,F,NA
j131,2,E5,436,8,2871125,2871030,Chile,Isla Mocha ,IMO,-38.85,-73.75,NA,40,858.1,F,2
j132,2,F5,319,5,2871126,2871031,Chile,Niebla ,NBL,-39.84,-73.43,NA,33,395,M,2
j133,2,G5,215,15,NA,2871032,Chile,Arica ,ARI,-18.56,-70.38,NA,31.5,316.7,F,2
j134,2,H5,NZ50,NA,2871128,2871033,New Zealand,New Zealand,NZE,-40,-173,NA,49,NA,F,NA
j135,2,A6,440,12,2871129,NA,Chile,Isla Mocha ,IMO,-38.85,-73.75,NA,36.5,609.7,F,2
j136,2,B6,NZ61,NA,2871130,NA,New Zealand,New Zealand,NZE,-40,-173,NA,50,NA,NA,NA
j137,2,C6,132,3,2871131,NA,Chile,Guanaquero,GNQ,-30.12,-71.45,NA,40,715.4,M,2
j138,2,D6,353,6,2871132,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,30.5,322.7,F,2
j139,2,E6,205,5,2871133,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,31.5,346.2,M,2
j140,2,F6,NZ80,NA,2871134,NA,New Zealand,New Zealand,NZE,-40,-173,NA,50,NA,F,NA
j141,2,G6,66,6,2871135,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,NA,39,845.3,F,2
j142,2,H6,323,9,2871136,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,33,403.6,F,2
j143,2,A7,354,7,2871137,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,31.5,350.1,F,2
j144,2,B7,324,10,2871138,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,33,414.8,M,2
j145,2,C7,392,4,2871139,NA,Chile,Isla Mocha ,IMO,-38.33,-74.04,NA,41.5,906.4,F,2
j146,2,D7,259,4,2871140,NA,Chile,Coquimbo,CQB,-30.1,-71.51,NA,29,264,M,2
j147,2,E7,NZ100,NA,2871141,NA,New Zealand,New Zealand,NZE,-40,-173,NA,48,NA,F,NA
j148,2,F7,361,14,2871142,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,30.5,337.4,F,2
j149,2,G7,PI31,NA,2871143,NA,Peru,Pimentel,PMT,-7.2,-81.28,NA,28,294,NA,NA
j150,2,H7,206,6,2871144,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,31,278.7,M,2
j151,2,A8,135,6,2871145,NA,Chile,Guanaquero,GNQ,-30.12,-71.45,NA,39,764.1,F,2
j152,2,B8,207,7,2871146,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,30.5,308,M,2
j153,2,C8,355,8,2871147,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,31,310.5,M,2
j154,2,D8,470.2,2,2871148,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-38.08,-73.96,NA,46.5,1171.8,F,2
j155,2,E8,216,16,2871149,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,30,273.9,F,2
j156,2,F8,PI40,NA,2871150,NA,Peru,Pimentel,PMT,-7.2,-81.28,NA,28,265,NA,NA
j157,2,G8,325,11,2871151,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,33,415.1,M,2
j158,2,H8,PI53,NA,2871152,NA,Peru,Pimentel,PMT,-7.2,-81.28,NA,27.5,274,NA,NA
j159,2,A9,328,14,2871153,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,31,327,F,2
j160,2,B9,PI60,NA,2871154,NA,Peru,Pimentel,PMT,-7.2,-81.28,NA,28.5,300,NA,NA
j161,2,C9,430,2,2871155,NA,Chile,Isla Mocha ,IMO,-38.85,-73.75,NA,43,904.4,F,2
j162,2,D9,143,14,2871156,NA,Chile,Guanaquero,GNQ,-30.12,-71.45,NA,38,641.4,F,2
j163,2,E9,322,8,2871157,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,33,372.2,M,2
j164,2,F9,208,8,2871158,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,30.5,345.2,M,2
j165,2,G9,356,9,2871159,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,30,324.7,M,2
j166,2,H9,263,8,2871160,NA,Chile,Coquimbo,CQB,-30.1,-71.51,NA,32,332.4,F,2
j167,2,A10,393,5,2871161,NA,Chile,Isla Mocha ,IMO,-38.33,-74.04,NA,39,650.9,M,2
j168,2,B10,144,15,2871162,NA,Chile,Guanaquero,GNQ,-30.12,-71.45,NA,38,650.3,F,2
j169,2,C10,321,7,2871163,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,36,497.9,M,2
j170,2,D10,357,10,2871164,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,30,288.2,M,2
j171,2,E10,209,9,2871165,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,29.5,290.1,F,2
j172,2,F10,5,5,2871166,NA,Chile,Golfo de Arauco-Pam Lonco,GAP,-36.02,-73.15,NA,41,873.3,M,2
j173,2,G10,OL26,NA,2871167,NA,Peru,Olleros,OLL,-14.83,-71.35,NA,31,325,NA,NA
j174,2,H10,360,13,2871168,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,29,243.2,M,2
j175,2,A11,261,6,2871169,NA,Chile,Coquimbo,CQB,-30.1,-71.51,NA,31,343.3,F,2
j176,2,B11,358,11,2871170,NA,Chile,Iquique,IQQ,-19.88,-70.14,NA,31,320.3,F,2
j177,2,C11,210,10,2871171,NA,Chile,Arica ,ARI,-18.56,-70.38,NA,31.5,298.5,M,2
j178,2,D11,327,13,2871172,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,32,352,F,2
j179,2,E11,394,6,2871173,NA,Chile,Isla Mocha ,IMO,-38.33,-74.04,NA,33,430.2,F,2
j180,2,F11,OL38,NA,2871174,NA,Peru,Olleros,OLL,-14.83,-71.35,NA,29,286,NA,NA
j181,2,G11,137,8,2871175,NA,Chile,Guanaquero,GNQ,-30.12,-71.45,NA,39,695.9,F,2
j182,2,H11,329,15,2871176,NA,Chile,Niebla ,NBL,-39.84,-73.43,NA,30,308.6,F,2
j183,2,A12,359,12,2871177,2871082,Chile,Iquique,IQQ,-19.88,-70.14,NA,29.5,295.7,M,2
j184,2,B12,395,7,2871178,2871083,Chile,Isla Mocha ,IMO,-38.33,-74.04,NA,40,806.2,F,2
j185,2,C12,OL58,NA,2871179,2871084,Peru,Olleros,OLL,-14.83,-71.35,NA,29,284,NA,NA
j186,2,D12,441,13,NA,2871085,Chile,Isla Mocha ,IMO,-38.85,-73.75,NA,41,807.2,F,2
j187,2,E12,211,11,2871181,2871086,Chile,Arica ,ARI,-18.56,-70.38,NA,30.5,277.1,M,2
j188,2,F12,320,6,2871182,2871087,Chile,Niebla ,NBL,-39.84,-73.43,NA,32,375.2,F,2
